cus_name,current_mem_id,prev_mem_id,last_updated_at,registration_date
Đặng Dương,3,2,2024-07-29,2023-12-27
Mai Yến Dương,1,1,2025-09-24,2025-06-11
Lê Dương,2,1,2025-01-29,2024-09-14
Phạm Hà Lê,4,3,2024-05-11,2022-11-12
Đặng Nhật Vũ,1,1,2025-07-12,2024-12-15
Lê Đặng,1,1,2025-05-10,2025-02-03
Hoàng Chi Đặng,7,6,2025-09-18,2025-05-09
Lê Bùi,2,1,2024-07-17,2024-04-21
Hoàng Hoàng,6,5,2024-11-14,2023-11-24
Phạm Hoàng Phạm,3,2,2024-02-07,2023-10-31
Nguyễn Văn Hoàng,4,3,2025-08-28,2023-02-26
Đặng Phúc Lê,6,5,2025-07-22,2023-02-14
Vũ Mai,4,3,2025-08-13,2025-03-18
Trần Văn Mai,1,1,2025-09-24,2025-04-08
Mai Mai,1,1,2025-07-30,2025-06-30
Đặng Vũ,3,2,2024-09-27,2023-10-15
Trần Vũ,5,4,2025-03-18,2024-08-27
Trần Trần,1,1,2025-10-06,2025-06-14
Mai Đặng,7,6,2024-11-20,2023-04-15
Vũ Phạm,1,1,2025-06-29,2025-03-09
Hoàng Lê,6,5,2022-10-15,2022-02-24
Mai Lê,7,6,2025-10-03,2024-03-06
Hoàng Thế Bùi,5,4,2024-04-04,2024-02-08
Bùi Dương,7,6,2024-12-26,2024-01-17
Lê Bảo Đặng,7,6,2025-08-20,2024-11-27
Phạm Xuân Hoàng,4,3,2025-09-30,2024-11-07
Bùi Nguyễn,4,3,2025-03-24,2024-06-18
Nguyễn Thảo Hoàng,7,6,2024-06-14,2024-03-06
Bùi cô Dương Vũ,3,2,2025-02-17,2024-08-29
Bùi Lâm Hoàng,4,3,2024-09-10,2024-06-18
Bùi Vũ,2,1,2024-12-24,2024-10-23
Dương Phú Trần,6,5,2024-05-18,2022-10-11
Nguyễn Vũ,1,1,2025-06-04,2025-05-01
Hoàng Vũ,7,6,2024-02-23,2024-01-17
Dương Lê,4,3,2023-07-30,2023-06-07
Lê Nhật Trần,3,2,2025-03-13,2025-02-15
Dương Lâm Đặng,6,5,2025-02-24,2024-06-15
Đặng Bùi,4,3,2024-09-20,2022-11-26
Mai Lê,1,1,2025-04-09,2025-01-13
Hoàng Hoàng,2,1,2024-12-22,2024-12-16
Nguyễn Mai Nguyễn,7,6,2025-09-11,2022-02-28
Dương Phạm,2,1,2025-01-04,2024-05-08
Vũ Phạm,7,6,2025-07-18,2025-05-04
Lê Hoàng,1,1,2025-04-09,2025-02-17
